GHBFNMLVSPCDGN-JTQLQIEISA-N,"红花","[(2S)-2,3-dihydroxypropyl] octanoate"
OCUMWWYTNPGJPT-JMERFSKESA-N,"女贞子","Ligustaloside A_qt"
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,"枸杞子","Arbutin"
NPOVZMYHKXTUAS-CYBMUJFWSA-N,"沉香","nubigenol"
FYEZJIXULOZDRT-LOKQZNEXSA-N,"藁本","ligusinenoside B_qt"
RZRNAYUHWVFMIP-XTXLJPNXSA-N,"急性子","glycerol-1-(9-octadecenoate)"
KPSZYAMCIRWUTK-UHFFFAOYSA-N,"附子","Pyrrolezanthine"
LWLOALZBDOVWAE-FMEUAVTJSA-N,"杜仲","(E)-3-[4-[(1R,2R)-2-hydroxy-2-(4-hydroxy-3-methoxy-phenyl)-1-methylol-ethoxy]-3-methoxy-phenyl]acrolein"
PFTAWBLQPZVEMU-UHFFFAOYSA-N,"钩藤,土茯苓,灵芝,龙葵,大枣,菝葜,白芥子,山楂,杜仲,大黄,乌梅,茯苓,丹参","Catechin"
CPWZXPYBVCANNT-UHFFFAOYSA-N,"西洋参,五味子","2-(P-Cyclohexyl-Phenoxy)Ethanol"
ABDQTIKKAYGHNV-UHFFFAOYSA-N,"桑白皮","3,5,7-trihydroxy-2-(3-hydroxyphenyl)chromone"
NPNNKDMSXVRADT-UITAMQMPSA-N,"火麻仁","(Z)-3-(4-hydroxy-3-methoxy-phenyl)-N-[2-(4-hydroxyphenyl)ethyl]acrylamide"
BMRSEYFENKXDIS-OALXIOMQSA-N,"桃仁","3-O-p-coumaroylquinic acid"
VGEREEWJJVICBM-UHFFFAOYSA-N,"巴豆","Phloretin"
NPNNKDMSXVRADT-WEVVVXLNSA-N,"大枣,黄连,枸杞子,何首乌,麦门冬,当归,酸枣仁,火麻仁,石菖蒲,麦冬","N-Trans-Feruloyl Tyramine"
PREBVFJICNPEKM-UHFFFAOYSA-N,"莪术","1,7-Bis(4-Hydroxyphenyl)Hepta-1,6-Diene-3,5-Dione"
VJFLPVLMPZGOFS-QHRIQVFBSA-N,"女贞子","Lucidumosides B_qt"
HJTVQHVGMGKONQ-UHFFFAOYSA-N,"莪术","1-(4-Hydroxy-3-Methoxyphenyl)-7-(4-Hydroxyphenyl)Hepta-1,6-Diene-3,5-Dione"
RXGUTQNKCXHALN-BJMVGYQFSA-N,"水红花子,麦冬","N-( Trans-P-Coumaroyl) Tyramine"
HIBKFQRBONXURO-UHFFFAOYSA-N,"党参","NSC405997"
ILRCGYURZSFMEG-RKQHYHRCSA-N,"女贞子,肉苁蓉","Rhodioloside,Salidroside"
PREBVFJICNPEKM-CBIKUMSCSA-N,"莪术","bisdemethoxycurcumin"
FZEUDSXYGRADHA-SPYBWZPUSA-N,"女贞子","Lucidumoside A_qt"
QJVXKWHHAMZTBY-GCPOEHJPSA-N,"党参,北沙参,杜仲,红花,肉苁蓉,藁本,忍冬藤,金银花,人参","Syringin"
HHNCJFKRMZDTHW-XKGFZTIGSA-N,"防风","Deltoin"
ZCKDCRKBURQZPT-OWOJBTEDSA-N,"半夏,清半夏","4-[(E)-3-Hydroxyprop-1-Enyl]Benzene-1,2-Diol"
