羚羊角,1,0.16666666666666666
附片,1,0.14285714285714285
生附子,1,0.14285714285714285
何首乌,3,0.13043478260869565
牛黄,2,0.10526315789473684
太子参,3,0.10344827586206896
山慈菇,2,0.1
麦冬,4,0.1
天麻,3,0.09090909090909091
麦门冬,1,0.09090909090909091
女贞子,11,0.07857142857142857
白芥子,5,0.078125
菝葜,5,0.06944444444444445
金荞麦,4,0.06349206349206349
北沙参,7,0.058333333333333334
清半夏,4,0.05714285714285714
附子,5,0.054945054945054944
麦芽,4,0.05128205128205128
急性子,3,0.05
水红花子,3,0.05
杜仲,9,0.04838709677419355
半夏,9,0.04736842105263158
皂角刺,2,0.045454545454545456
墨旱莲,3,0.043478260869565216
泽泻,3,0.04054054054054054
酸枣仁,2,0.03773584905660377
仙鹤草,2,0.03773584905660377
芡实,1,0.037037037037037035
火麻仁,3,0.037037037037037035
防风,7,0.03684210526315789
昆布,2,0.03636363636363636
土茯苓,4,0.03508771929824561
黄连,3,0.03488372093023256
桑椹,3,0.03296703296703297
茯苓,2,0.03278688524590164
川贝母,3,0.03225806451612903
海藻,1,0.03225806451612903
当归,8,0.03088803088803089
红花,7,0.030837004405286344
枸杞子,8,0.030418250950570342
牛蒡子,5,0.030120481927710843
冬虫夏草,2,0.029850746268656716
五味子,4,0.029197080291970802
金银花,9,0.02912621359223301
白术,3,0.02912621359223301
甘草,11,0.028423772609819122
巴豆,2,0.028169014084507043
沉香,5,0.027777777777777776
八角茴香,2,0.027777777777777776
钩藤,3,0.027522935779816515
忍冬藤,3,0.026785714285714284
黄芪,3,0.02654867256637168
丹参,7,0.025089605734767026
肉苁蓉,3,0.024793388429752067
补骨脂,1,0.023809523809523808
干地黄,1,0.022727272727272728
桑白皮,5,0.02262443438914027
酒萸肉,2,0.02247191011235955
桃仁,2,0.02247191011235955
半枝莲,3,0.022222222222222223
蒲黄,1,0.021739130434782608
党参,4,0.021621621621621623
藁本,3,0.020833333333333332
莪术,4,0.02072538860103627
山药,2,0.02040816326530612
龙葵,2,0.02040816326530612
夏枯草,2,0.0196078431372549
地黄,1,0.019230769230769232
山茱萸,5,0.018867924528301886
远志,1,0.017857142857142856
牡丹皮,1,0.015873015873015872
牛膝,3,0.015463917525773196
北五味子,2,0.015384615384615385
山楂,1,0.015384615384615385
淫羊藿,2,0.014184397163120567
乌梅,1,0.013157894736842105
楮实子,1,0.012048192771084338
椿皮,1,0.011235955056179775
巴戟天,2,0.011111111111111112
大黄,2,0.01092896174863388
白果,2,0.010638297872340425
人参,4,0.01038961038961039
熟地黄,1,0.009345794392523364
大枣,2,0.008928571428571428
白芍,1,0.00847457627118644
灵芝,3,0.00819672131147541
苦杏仁,1,0.008064516129032258
天南星,1,0.008
麻黄,3,0.007228915662650603
紫苏子,1,0.006896551724137931
石菖蒲,1,0.006666666666666667
三七,1,0.00641025641025641
乳香,1,0.00641025641025641
西洋参,1,0.0055248618784530384
黄芩,1,0.005494505494505495
柴胡,2,0.004889975550122249
川芎,1,0.004098360655737705
菊花,1,0.002617801047120419
